Year,LSS Number,LSS Name,School Number,School Name,Star Rating,Total Points Earned Percentage,Percentile Rank Elementary,Percentile Rank Middle,Percentile Rank High
2019,7,Cecil,104,Cecilton Elementary,4,68,68,na,na
2019,7,Cecil,204,Bohemia Manor High,4,62,na,na,53
2019,7,Cecil,205,Chesapeake City Elementary,4,68,68,na,na
2019,7,Cecil,206,Bohemia Manor Middle,4,62,na,69,na
2019,7,Cecil,302,Elkton High,3,57,na,na,41
2019,7,Cecil,303,Elkton Middle,3,46,na,29,na
2019,7,Cecil,310,Gilpin Manor Elementary,3,57,31,na,na
2019,7,Cecil,311,Holly Hall Elementary,4,60,42,na,na
2019,7,Cecil,313,Cherry Hill Middle,3,55,na,52,na
2019,7,Cecil,315,Leeds Elementary,4,62,49,na,na
2019,7,Cecil,316,Thomson Estates Elementary,3,56,28,na,na
2019,7,Cecil,317,Kenmore Elementary,4,64,56,na,na
2019,7,Cecil,401,Cecil Manor Elementary,3,54,25,na,na
2019,7,Cecil,504,North East Middle,3,53,na,48,na
2019,7,Cecil,506,North East Elementary,3,59,39,na,na
2019,7,Cecil,510,Bay View Elementary,4,62,48,na,na
2019,7,Cecil,513,Charlestown Elementary,4,70,72,na,na
2019,7,Cecil,514,North East High,3,57,na,na,42
2019,7,Cecil,515,Elk Neck Elementary,4,70,72,na,na
2019,7,Cecil,606,Rising Sun Middle School,4,61,na,68,na
2019,7,Cecil,607,Rising Sun Elementary,4,68,68,na,na
2019,7,Cecil,701,Perryville Middle,3,47,na,31,na
2019,7,Cecil,703,Perryville Elementary,4,70,74,na,na
2019,7,Cecil,704,Bainbridge Elementary,4,62,48,na,na
2019,7,Cecil,705,Perryville High,3,58,na,na,45
2019,7,Cecil,801,Conowingo Elementary,4,66,62,na,na
2019,7,Cecil,904,Calvert Elementary,4,70,73,na,na
2019,7,Cecil,905,Rising Sun High,4,62,na,na,55
2019,8,Charles,104,Milton M. Somers Middle School,2,44,na,23,na
2019,8,Charles,105,Walter J. Mitchell Elementary,4,69,70,na,na
2019,8,Charles,106,La Plata High School,4,70,na,na,73
2019,8,Charles,108,Maurice J. McDonough High School,4,60,na,na,50
2019,8,Charles,109,Mary H. Matula Elementary School,4,61,45,na,na
2019,8,Charles,302,Mt Hope/Nanjemoy Elementary School,4,73,80,na,na
